Serial,City,School Name
605,mumbai,Kidzee
606,mumbai,Kidzee - Vasai West
607,mumbai,Kidzee
608,mumbai,Kidzee
609,mumbai,Kimmins High School
610,mumbai,Kinder Nest
611,mumbai,Kinnari Cultural Centre
612,mumbai,Kinnari Cultural Centre
613,mumbai,Kitty Garden Senior Secondary School
614,mumbai,Klay Pre Schools
615,mumbai,KLAY Pre Schools & Daycare (Inspire BKC)
616,mumbai,Klay Pre Schools
617,mumbai,Klay Pre Schools
618,mumbai,K.M.S. DR. SHIRODKAR SCHOOL
619,mumbai,KMS English Medium School
620,mumbai,Kohinoor Blossoms
621,mumbai,Kohinoor International School
622,mumbai,Koko Kids - Mulund West
623,mumbai,K.P. C. English High School
624,mumbai,Kreative Starz
625,mumbai,KUDOS KIDS SECONDARY SCHOOL - Vakola
626,mumbai,L. N. ENGLISH HIGH SCHOOL - Bhandup West
627,mumbai,Lady Engineers High School
628,mumbai,Lady Khatun Marium School
629,mumbai,Lady Ratanbai & Sir Mathuradas Vissanji Academy
630,mumbai,Lakshdham High School
631,mumbai,Lakshdham Playmate
632,mumbai,L.D. Doshi Gurukul Primary School
633,mumbai,Learners Academy School
634,mumbai,Lexicon Global School
635,mumbai,"LILAVATI LALJEE DAYAL HIGH SCHOOL - Khetwadi,Girgaon"
636,mumbai,Lilavati Lalji Dayal High School
637,mumbai,"Lilavatibai Podar High School, ISC"
638,mumbai,Lions Pioneer School
639,mumbai,LITTLE ANGELS ENGLISH HIGH SCHOOL
640,mumbai,Little Angels English High School
641,mumbai,"Little Angels&apos; International School, Sion"
642,mumbai,Little Aryans
643,mumbai,Little Bo Peep
644,mumbai,Little Champs
645,mumbai,Little Elly Pre-School
646,mumbai,Little Feet
647,mumbai,LITTLE FLOWER ENGLISH SCHOOL
648,mumbai,Little Flower High School
649,mumbai,Little Flower of Jesus High School
650,mumbai,Little Hearts Pre School
651,mumbai,Little Hearts The Pre-Primary
652,mumbai,Little Learners Academy
653,mumbai,Little Millennium
654,mumbai,Little Millennium
655,mumbai,Little Millennium
656,mumbai,Little Millennium
657,mumbai,Little Millennium
658,mumbai,Little Millennium - Chembur
659,mumbai,Little Millennium
660,mumbai,Little Millennium
661,mumbai,Little Millennium
662,mumbai,Little Millennium
663,mumbai,Little Millennium
664,mumbai,Little Millennium
665,mumbai,Little Millennium
666,mumbai,Little Millennium
667,mumbai,Little Millennium
668,mumbai,Little Millennium
669,mumbai,Little Millennium
670,mumbai,Little Millennium
671,mumbai,Little Millennium
672,mumbai,Little Millennium
673,mumbai,Little Millennium
674,mumbai,Little Millennium Preschool
675,mumbai,Little Millennium
676,mumbai,LITTLE MILLENNIUM
677,mumbai,Little Millennium
678,mumbai,Little Millennium
679,mumbai,Little Millennium
680,mumbai,Little Millennium
681,mumbai,Little Millennium
682,mumbai,Little Munchkins
683,mumbai,Little School Home
684,mumbai,LITTLE STAR ENGLISH HIGH SCHOOL
685,mumbai,Little Wizards School
686,mumbai,Lodha World School
687,mumbai,LOK PURAM PUBLIC SCHOOL
688,mumbai,Lokhandwala Foundation School
689,mumbai,LOKMANYA TILAK ENGLISH HIGH SCHOOL
690,mumbai,Lokmanya Vidya Mandir High School
691,mumbai,Loknete Ramsheth Thakur Public School
692,mumbai,Lourdes High school and Junior college - Kalyan
693,mumbai,Lycée Français International de Mumbai (LFIM)
694,mumbai,M.H.Saboo Siddik Technical High School
695,mumbai,M.V. Mandal Primary School
696,mumbai,MAA VIDYA MANDIR HIGH SCHOOL
697,mumbai,Madhavrao Bhagwat High School
698,mumbai,Madhusudhan Global School
699,mumbai,Maha Pragya Public School
700,mumbai,Maharani Kishori Devi Girls School
701,mumbai,Maharashtra High School
702,mumbai,Maharashtra Military School
703,mumbai,Mahatma International School
704,mumbai,Mainadevi bajaj international playschool
